일자,요일,휴일,법정공휴일명
2019-08-15,목요일,Y,광복절
2019-08-16,금요일,N,
2019-08-17,토요일,N,
2019-08-18,일요일,Y,
2019-08-19,월요일,N,
2019-08-20,화요일,N,
2019-08-21,수요일,N,
2019-08-22,목요일,N,
2019-08-23,금요일,N,
2019-08-24,토요일,N,
2019-08-25,일요일,Y,
2019-08-26,월요일,N,
2019-08-27,화요일,N,
2019-08-28,수요일,N,
2019-08-29,목요일,N,
2019-08-30,금요일,N,
2019-08-31,토요일,N,
2019-09-01,일요일,Y,
2019-09-02,월요일,N,
2019-09-03,화요일,N,
2019-09-04,수요일,N,
2019-09-05,목요일,N,
2019-09-06,금요일,N,
2019-09-07,토요일,N,
2019-09-08,일요일,Y,
2019-09-09,월요일,N,
2019-09-10,화요일,N,
2019-09-11,수요일,N,
2019-09-12,목요일,Y,추석
2019-09-13,금요일,Y,추석
2019-09-14,토요일,Y,추석
2019-09-15,일요일,Y,
2019-09-16,월요일,N,
2019-09-17,화요일,N,
2019-09-18,수요일,N,
2019-09-19,목요일,N,
2019-09-20,금요일,N,
2019-09-21,토요일,N,
2019-09-22,일요일,Y,
2019-09-23,월요일,N,
2019-09-24,화요일,N,
2019-09-25,수요일,N,
2019-09-26,목요일,N,
2019-09-27,금요일,N,
2019-09-28,토요일,N,
2019-09-29,일요일,Y,
2019-09-30,월요일,N,
2019-10-01,화요일,N,
2019-10-02,수요일,N,
2019-10-03,목요일,Y,개천절
2019-10-04,금요일,N,
2019-10-05,토요일,N,
2019-10-06,일요일,Y,
2019-10-07,월요일,N,
2019-10-08,화요일,N,
2019-10-09,수요일,Y,한글날
2019-10-10,목요일,N,
2019-10-11,금요일,N,
2019-10-12,토요일,N,
2019-10-13,일요일,Y,
2019-10-14,월요일,N,
2019-10-15,화요일,N,
2019-10-16,수요일,N,
2019-10-17,목요일,N,
2019-10-18,금요일,N,
2019-10-19,토요일,N,
2019-10-20,일요일,Y,
2019-10-21,월요일,N,
2019-10-22,화요일,N,
2019-10-23,수요일,N,
2019-10-24,목요일,N,
2019-10-25,금요일,N,
2019-10-26,토요일,N,
2019-10-27,일요일,Y,
2019-10-28,월요일,N,
2019-10-29,화요일,N,
2019-10-30,수요일,N,
2019-10-31,목요일,N,
2019-11-01,금요일,N,
2019-11-02,토요일,N,
2019-11-03,일요일,Y,
2019-11-04,월요일,N,
2019-11-05,화요일,N,
2019-11-06,수요일,N,
2019-11-07,목요일,N,
2019-11-08,금요일,N,
2019-11-09,토요일,N,
2019-11-10,일요일,Y,
2019-11-11,월요일,N,
2019-11-12,화요일,N,
2019-11-13,수요일,N,
2019-11-14,목요일,N,
2019-11-15,금요일,N,
2019-11-16,토요일,N,
2019-11-17,일요일,Y,
2019-11-18,월요일,N,
2019-11-19,화요일,N,
2019-11-20,수요일,N,
2019-11-21,목요일,N,
2019-11-22,금요일,N,
2019-11-23,토요일,N,
2019-11-24,일요일,Y,
2019-11-25,월요일,N,
2019-11-26,화요일,N,
2019-11-27,수요일,N,
2019-11-28,목요일,N,
2019-11-29,금요일,N,
2019-11-30,토요일,N,
2019-12-01,일요일,Y,
2019-12-02,월요일,N,
2019-12-03,화요일,N,
2019-12-04,수요일,N,
2019-12-05,목요일,N,
2019-12-06,금요일,N,
2019-12-07,토요일,N,
2019-12-08,일요일,Y,
2019-12-09,월요일,N,
2019-12-10,화요일,N,
2019-12-11,수요일,N,
2019-12-12,목요일,N,
2019-12-13,금요일,N,
2019-12-14,토요일,N,
2019-12-15,일요일,Y,
2019-12-16,월요일,N,
2019-12-17,화요일,N,
2019-12-18,수요일,N,
2019-12-19,목요일,N,
2019-12-20,금요일,N,
2019-12-21,토요일,N,
2019-12-22,일요일,Y,
2019-12-23,월요일,N,
2019-12-24,화요일,N,
2019-12-25,수요일,Y,기독탄신일
2019-12-26,목요일,N,
2019-12-27,금요일,N,
2019-12-28,토요일,N,
2019-12-29,일요일,Y,
2019-12-30,월요일,N,
2019-12-31,화요일,N,
